Frontiers in Pediatrics, Life Sciences
Journal of Emergency Nursing, Engineering & Technology
Heart & Lung, Humanities
Exercise Sport and Movement, Multidisciplinary
The Angle Orthodontist, Multidisciplinary
The ISME Journal, Multidisciplinary
SusMat, Multidisciplinary
Green Energy & Environment, Physical Sciences
Giant, Multidisciplinary
Transportation research procedia, Multidisciplinary
Beilstein Journal of Organic Chemistry, Physical Sciences
Green Energy and Resources, Physical Sciences
IET Nanobiotechnology, Engineering & Technology
The Tohoku Journal of Experimental Medicine, Life Sciences
Biomedical Research, Life Sciences
Clinical Diabetology, Life Sciences
International Journal of Surgery, Engineering & Technology
Biologia, Multidisciplinary
New Microbes and New Infections, Multidisciplinary
International Journal of Research in Special Education, Social Sciences
Neural Plasticity, Multidisciplinary
International Journal of Nephrology, Engineering & Technology
International Research Journal of Business Studies, Business & Economics
Indonesian Business Review, Business & Economics
IJECA (International Journal of Education and Curriculum Application), Social Sciences
Asian Social Science and Humanities Research Journal (ASHREJ), Humanities
INOVATIF Jurnal Penelitian Pendidikan Agama dan Kebudayaan, Multidisciplinary
SKILLS Jurnal Riset dan Studi Manajemen Pendidikan Islam, Multidisciplinary
Journal Of World Science, Multidisciplinary
AL-TANZIM JURNAL MANAJEMEN PENDIDIKAN ISLAM, Multidisciplinary
MANAJERIAL Jurnal Inovasi Manajemen dan Supervisi Pendidikan, Multidisciplinary
Epigenomes, Multidisciplinary
Acta Naturae, Multidisciplinary
Annals of Clinical and Experimental Neurology, Life Sciences
Basic and Clinical Neuroscience Journal, Life Sciences
Pediatric Traumatology Orthopaedics and Reconstructive Surgery, Multidisciplinary
Rheumatology Science and Practice, Multidisciplinary
Neuromuscular Diseases, Life Sciences
Rational Pharmacotherapy in Cardiology, Multidisciplinary
Traumatology and Orthopedics of Russia, Multidisciplinary
Osteoporosis and Bone Diseases, Multidisciplinary
Koloproktologia, Multidisciplinary
Terapevticheskii arkhiv, Multidisciplinary
Oikos, Multidisciplinary
Zoo Biology, Life Sciences
Journal of Animal Physiology and Animal Nutrition, Life Sciences
African Journal of Ecology, Life Sciences
Mammalian Biology, Life Sciences
Journal of Equine Veterinary Science, Life Sciences
Animal Feed Science and Technology, Engineering & Technology
Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology, Humanities
Wildlife Biology, Life Sciences
Journal of Healthcare Engineering, Engineering & Technology
IAES International Journal of Artificial Intelligence, Humanities
Information Technology And Control, Engineering & Technology
English Review Journal of English Education, Social Sciences
ILKOM Jurnal Ilmiah, Multidisciplinary
Jurnal Perbankan Syariah., Multidisciplinary
Indonesia Accounting Journal, Business & Economics
Bulletin of Electrical Engineering and Informatics, Engineering & Technology
Jambura Equilibrium Journal, Multidisciplinary
MOVE Journal of Community Service and Engagement, Engineering & Technology
Tasharruf Journal Economics and Business of Islam, Business & Economics
Global Financial Accounting Journal, Business & Economics
Jurnal Riset Keuangan Dan Akuntansi, Multidisciplinary
Aksara Jurnal Ilmu Pendidikan Nonformal, Multidisciplinary
Frontiers of Medicine, Life Sciences
Chinese Journal of Plastic and Reconstructive Surgery, Engineering & Technology
Journal of Otology, Engineering & Technology
Frontiers in Gastroenterology, Multidisciplinary
Counselor Education and Supervision, Social Sciences
Information & Management, Business & Economics
International Journal of Mental Health Promotion, Life Sciences
Bone and Joint Research, Multidisciplinary
Pulmonary Therapy, Multidisciplinary
World Journal of Microbiology and Biotechnology, Engineering & Technology
Geochemistry Geophysics Geosystems, Engineering & Technology
Lithos, Multidisciplinary
Chemical Geology, Physical Sciences
Geoenergy Science and Engineering, Engineering & Technology
Educational Technology Research and Development, Social Sciences
Journal of Intelligence, Engineering & Technology
Journal of the Society for Information Display, Engineering & Technology
Pharmacogenomics, Life Sciences
Atherosclerosis Plus, Multidisciplinary
Primary care diabetes, Multidisciplinary
Health and Technology, Engineering & Technology
Endocrinology Diabetes & Metabolism, Multidisciplinary
Journal of Cerebrovascular and Endovascular Neurosurgery, Life Sciences
Turkish Neurosurgery, Life Sciences
Journal of Neurological Surgery Part B Skull Base, Humanities
Indian Journal of Neurosurgery, Life Sciences
Child s Nervous System, Multidisciplinary
Biologics, Multidisciplinary
Annals of Saudi Medicine, Life Sciences
Folia Biologica, Multidisciplinary
Problems of Endocrinology, Multidisciplinary
Parodontologiya, Multidisciplinary
Brazilian Journal of Biology, Life Sciences
Soil and Tillage Research, Multidisciplinary
Vadose Zone Journal, Multidisciplinary
Environmental Modelling & Software, Engineering & Technology
Journal of Agricultural Science, Humanities
European Journal of Soil Science, Multidisciplinary
Revista Brasileira de Ciência do Solo, Multidisciplinary
Crop Forage & Turfgrass Management, Business & Economics
Boletim de Indústria Animal, Multidisciplinary
Soil Security, Multidisciplinary
Journal of Environmental Quality, Engineering & Technology
Pesquisa Agropecuária Gaúcha, Multidisciplinary
Brazilian Journal of Forensic Science Medical Law and Bioethics, Humanities
NOVYE OGNEUPORY (NEW REFRACTORIES), Multidisciplinary
Журнал неорганической химии, Multidisciplinary
ISME Communications, Social Sciences
npj Biodiversity, Multidisciplinary
Annals of Global Health, Life Sciences
Environmental Evidence, Multidisciplinary
Bulgarian Journal of Crop Science, Multidisciplinary
Ratarstvo i povrtarstvo, Multidisciplinary
Geoheritage, Humanities
Pituitary, Multidisciplinary
Notulae Botanicae Horti Agrobotanici Cluj-Napoca, Engineering & Technology
Ekonomika poljoprivrede, Multidisciplinary
Selekcija i semenarstvo, Multidisciplinary
Antarctic Science, Multidisciplinary
Bulletin of Volcanology, Multidisciplinary
Contributions to Mineralogy and Petrology, Multidisciplinary
Journal of Peptide Science, Multidisciplinary
Molecular Pharmacology, Life Sciences
Medicine in Drug Discovery, Life Sciences
Memórias do Instituto Oswaldo Cruz, Multidisciplinary
Transportation Research Part E Logistics and Transportation Review, Humanities
Annals of Operations Research, Multidisciplinary
Journal of Operations Management, Business & Economics
Decision Sciences, Multidisciplinary
International Journal of Production Economics, Business & Economics
Naval Research Logistics (NRL), Multidisciplinary
Transportation Research Part A Policy and Practice, Humanities
Trends in cancer, Multidisciplinary
FASEB BioAdvances, Multidisciplinary
Neuroscience Letters, Life Sciences
International Journal of Gynecological Cancer, Engineering & Technology
Mini-invasive Surgery, Multidisciplinary
Radiotherapy and Oncology, Life Sciences
Current Treatment Options in Oncology, Life Sciences
Computerized Medical Imaging and Graphics, Engineering & Technology
Clinical and Translational Radiation Oncology, Life Sciences
Oral Oncology Reports, Life Sciences
Practical Radiation Oncology, Life Sciences
JAMA Otolaryngology–Head & Neck Surgery, Multidisciplinary
Radiology, Multidisciplinary
Case Reports in Otolaryngology, Multidisciplinary
Islets, Multidisciplinary
Kanzo, Multidisciplinary
Academic Radiology, Multidisciplinary
Current Opinion in Chemical Biology, Physical Sciences
Abdominal Radiology, Multidisciplinary
Revista Brasileira de Enfermagem, Multidisciplinary
Investigación y Educación en Enfermería, Multidisciplinary
Revista da Escola de Enfermagem da USP, Multidisciplinary
Texto & Contexto - Enfermagem, Multidisciplinary
Current Research in Complementary & Alternative Medicine, Life Sciences
Cogitare Enfermagem, Multidisciplinary
Revista Latino-Americana de Enfermagem, Multidisciplinary
Revista de Enfermagem da UFSM, Multidisciplinary
Journal of Health Sciences, Life Sciences
Pesquisa Brasileira em Odontopediatria e Clínica Integrada, Multidisciplinary
ARCHIVES OF HEALTH INVESTIGATION, Life Sciences
International Journal of Health Science, Life Sciences
BRAZILIAN ELECTRONIC JOURNAL OF MATHEMATICS, Engineering & Technology
Revista gaúcha de enfermagem, Multidisciplinary
Geodesy and Geodynamics, Multidisciplinary
Chinese Journal of Mechanical Engineering, Engineering & Technology
Journal of Computer and System Sciences, Engineering & Technology
Information and Computation, Multidisciplinary
Indian Journal of Dermatology, Engineering & Technology
Head & Face Medicine, Life Sciences
Humanities and Social Science Research, Humanities
Ornamental Plant Research, Multidisciplinary
Burns & Trauma, Multidisciplinary
Acta Medica Academica, Multidisciplinary
Annals of Clinical Microbiology and Antimicrobials, Life Sciences
Frontiers in Sociology, Social Sciences
Insect Science, Multidisciplinary
Academic journal of management and social sciences, Business & Economics
International Journal of Tourism Research, Engineering & Technology
The Journal of Creative Behavior, Engineering & Technology
Journal of Investigative Medicine, Life Sciences
Analytical Cellular Pathology, Life Sciences
International Journal of Management Science and Information Technology, Business & Economics
International Journal of Creative Business and Management, Business & Economics
Jurnal Aplikasi Pelayaran dan Kepelabuhanan, Multidisciplinary
Athena Journal of Social Culture and Society, Social Sciences
Eduvest - Journal Of Universal Studies, Engineering & Technology
IJEBD (International Journal Of Entrepreneurship And Business Development), Business & Economics
MARGINAL JOURNAL OF MANAGEMENT ACCOUNTING GENERAL FINANCE AND INTERNATIONAL ECONOMIC ISSUES, Business & Economics
Harmony Management International Journal of Management Science and Business, Business & Economics
Journal of Social Interactions and Humanities, Humanities
Indonesian Journal Economic Review (IJER), Business & Economics
Journal Of Social Research, Social Sciences
E-Bisnis Jurnal Ilmiah Ekonomi dan Bisnis, Multidisciplinary
Journal of the American Philosophical Association, Engineering & Technology
Informal Logic, Multidisciplinary
Think, Multidisciplinary
Argumentation, Multidisciplinary
Advanced Industrial and Engineering Polymer Research, Engineering & Technology
Nano Select, Multidisciplinary
PAMM, Multidisciplinary
Journal of Computational Vision and Imaging Systems, Engineering & Technology
AI Magazine, Engineering & Technology
Open Medicine, Life Sciences
Health Promotion Perspectives, Life Sciences
International Journal of Astrobiology, Life Sciences
European Journal of Vascular and Endovascular Surgery, Engineering & Technology
The Journal of Economic History, Business & Economics
International Journal of Social Determinants of Health and Health Services, Social Sciences
Health Policy, Social Sciences
BMJ Medicine, Life Sciences
Urban Climate, Physical Sciences
Psychiatric Quarterly, Humanities
Population Health Metrics, Life Sciences
Pharmacy Practice, Multidisciplinary
La Medicina del lavoro, Multidisciplinary
Environmental and Ecological Statistics, Multidisciplinary
Biology of the Cell, Life Sciences
Cardiovascular Engineering and Technology, Engineering & Technology
Progress in Neurobiology, Life Sciences
Nutrition, Life Sciences
Journal of Korean Medicine, Life Sciences
Journal of Rehabilitation Therapy, Engineering & Technology
Innovations in Acupuncture and Medicine, Life Sciences
Science Journal of Circuits Systems and Signal Processing, Engineering & Technology
Journal of Electrical and Computer Engineering, Engineering & Technology
Physics Letters A, Physical Sciences
The North American Journal of Economics and Finance, Business & Economics
Chinese Journal of Chemistry, Physical Sciences
IET Radar Sonar & Navigation, Multidisciplinary
Aquaculture, Multidisciplinary
Fish Physiology and Biochemistry, Physical Sciences
International Journal of Advanced Biochemistry Research, Physical Sciences
Indian Journal of Critical Care Medicine, Life Sciences
Journal Of Government Science, Multidisciplinary
Endodontics Today, Multidisciplinary
Pacific Medical Journal, Life Sciences
Medical alphabet, Life Sciences
Pediatric dentistry and dental prophylaxis, Multidisciplinary
Clinical Dentistry (Russia), Life Sciences
Immunogenetics, Life Sciences
Experimental Dermatology, Multidisciplinary
Infectious Disease Reports, Multidisciplinary
Pulmonary Circulation, Multidisciplinary
Clinics in Chest Medicine, Life Sciences
European Journal of Radiology Open, Engineering & Technology
Journal of Toxicologic Pathology, Life Sciences
Toxicologic Pathology, Life Sciences
EXPERIMENTAL ANIMALS, Multidisciplinary
Rehman Journal of Health Sciences, Life Sciences
Journal of Medical Sciences, Life Sciences
Journal of Khyber College of Dentistry, Engineering & Technology
Paleoceanography and Paleoclimatology, Physical Sciences
Medical History, Humanities
Vaccine X, Multidisciplinary
Contraception, Multidisciplinary
Aesthetic Plastic Surgery, Multidisciplinary
Aesthetic Surgery Journal Open Forum, Multidisciplinary
BMJ Sexual & Reproductive Health, Life Sciences
Contraception X, Multidisciplinary
Hydrological Processes, Multidisciplinary
Biomedical Engineering Letters, Engineering & Technology
Advanced Nanocomposites, Multidisciplinary
Frontiers of Optoelectronics, Engineering & Technology
Journal of Pediatric Gastroenterology and Nutrition, Life Sciences
Frontiers in Network Physiology, Engineering & Technology
Journal of NeuroInterventional Surgery, Life Sciences
International Journal of Circumpolar Health, Life Sciences
Australian Critical Care, Multidisciplinary
Nursing in Critical Care, Multidisciplinary
Burns Open, Multidisciplinary
Engagement Jurnal Pengabdian Kepada Masyarakat, Multidisciplinary
PengabdianMu Jurnal Ilmiah Pengabdian kepada Masyarakat, Multidisciplinary
SEHATMAS Jurnal Ilmiah Kesehatan Masyarakat, Multidisciplinary
Jurnal PROMKES, Multidisciplinary
Journal of Public Health Research and Community Health Development, Life Sciences
Jurnal Cakrawala Promkes, Multidisciplinary
Power Electronic Devices and Components, Engineering & Technology
The Journal of Engineering, Engineering & Technology
Pharmacognosy Journal, Multidisciplinary
Annals of Noninvasive Electrocardiology, Multidisciplinary
Life Science Alliance, Multidisciplinary
Molecules and Cells, Multidisciplinary
Inorganica Chimica Acta, Multidisciplinary
Annual Review of Immunology, Life Sciences
Pragmatic and Observational Research, Multidisciplinary
Pediatric Pulmonology, Multidisciplinary
Journal of Medical Screening, Life Sciences
IP International Journal of Comprehensive and Advanced Pharmacology, Life Sciences
IP Journal of Nutrition Metabolism and Health Science, Life Sciences
Contemporary Clinical Trials, Life Sciences
Journal of bone oncology, Life Sciences
OBM Neurobiology, Life Sciences
Journal of Plant Studies, Engineering & Technology
Frontiers in Astronomy and Space Sciences, Physical Sciences
The Journal Of Hand Surgery, Engineering & Technology
IEICE Transactions on Electronics, Engineering & Technology
The Review of Laser Engineering, Engineering & Technology
Nihon Toseki Igakkai Zasshi, Engineering & Technology
ACS Medicinal Chemistry Letters, Physical Sciences
Medicinal Research Reviews, Engineering & Technology
IUPHAR/BPS Guide to Pharmacology CITE, Life Sciences
Child and Adolescent Mental Health, Life Sciences
Clinical Child Psychology and Psychiatry, Social Sciences
JCPP Advances, Multidisciplinary
Social Development, Social Sciences
Developmental Psychobiology, Life Sciences
Journal of Child and Family Studies, Engineering & Technology
advances in/psychology, Social Sciences
Health Psychology Open, Social Sciences
Folia veterinaria, Multidisciplinary
Environmental Medicine, Life Sciences
Acta Veterinaria Brno, Multidisciplinary
Yearbook of Medical Informatics, Engineering & Technology
Journal of Biomedical Informatics, Engineering & Technology
Finnish Journal of eHealth and eWelfare, Life Sciences
Cambridge Prisms Precision Medicine, Life Sciences
SN Applied Sciences, Multidisciplinary
IET Smart Grid, Humanities
IET Intelligent Transport Systems, Engineering & Technology
International Journal of Engineering Trends and Technology, Engineering & Technology
Women Midwives and Midwifery, Multidisciplinary
Sexually Transmitted Infections, Multidisciplinary
Human Resources for Health, Life Sciences
Birth, Multidisciplinary
Australian and New Zealand Journal of Obstetrics and Gynaecology, Life Sciences
Nicotine & Tobacco Research, Multidisciplinary
Human Pathology Case Reports, Life Sciences
TERRA ORTHOPAEDICA, Multidisciplinary
Sport Mont, Multidisciplinary
Proceedings of the National Academy of Sciences of Belarus Medical series, Life Sciences
Herald of Orthopaedics Traumatology and Prosthetics, Multidisciplinary
ORTHOPAEDICS TRAUMATOLOGY and PROSTHETICS, Multidisciplinary
Journal of the Grodno State Medical University, Life Sciences
Hepatology and Gastroenterology, Multidisciplinary
Neurology neuropsychiatry Psychosomatics, Life Sciences
Evolutionary Applications, Multidisciplinary
International journal of Asian social science research., Social Sciences
Nature Reviews Earth & Environment, Humanities
Ocean Modelling, Multidisciplinary
Regional Environmental Change, Multidisciplinary
Kidney & Blood Pressure Research, Multidisciplinary
Thin Solid Films, Multidisciplinary
Integrative Biology, Life Sciences
Endocrine, Multidisciplinary
Archives of Psychiatry Research, Multidisciplinary
International Surgery Journal, Multidisciplinary
Medicina Universitaria, Multidisciplinary
Research on Chemical Intermediates, Social Sciences
Organometallics, Multidisciplinary
Journal of Molecular Structure, Engineering & Technology
Journal of Organometallic Chemistry, Physical Sciences
Chemical Research in Chinese Universities, Physical Sciences
Journal of the Civil Engineering Forum, Engineering & Technology
Neuroepidemiology, Life Sciences
Clinical and Experimental Neuroimmunology, Life Sciences
Journal of Medical Artificial Intelligence, Humanities
Disease Models & Mechanisms, Multidisciplinary
VideoGIE, Multidisciplinary
Progress in Rehabilitation Medicine, Life Sciences
Advanced Biomedical Engineering, Engineering & Technology
Computational Intelligence and Neuroscience, Life Sciences
STUDIA MIEJSKIE, Multidisciplinary
Advances in Dermatology and Allergology, Multidisciplinary
Forum Dermatologicum, Multidisciplinary
JAMA Dermatology, Multidisciplinary
Journal of the European Academy of Dermatology and Venereology, Engineering & Technology
Nutrition Research and Practice, Life Sciences
Journal of Nutrition and Health, Life Sciences
Clinical Psychopharmacology and Neuroscience, Life Sciences
Jordan Journal of Nursing Research, Engineering & Technology
Journal of Innate Immunity, Engineering & Technology
Biomarker Insights, Multidisciplinary
JAMA Surgery, Multidisciplinary
International Journal of Antimicrobial Agents, Engineering & Technology
Canadian Journal of Kidney Health and Disease, Life Sciences
Human Immunology, Life Sciences
Assessing Writing, Multidisciplinary
Journal of the Canadian Association of Gastroenterology, Engineering & Technology
Blood Vessels Thrombosis & Hemostasis, Multidisciplinary
Journal of the Medical Library Association JMLA, Life Sciences
Partnership The Canadian Journal of Library and Information Practice and Research, Humanities
Human Psychopharmacology Clinical and Experimental, Life Sciences
Portal hypertension & cirrhosis, Multidisciplinary
Scandinavian Journal of Gastroenterology, Engineering & Technology
Central European Journal of Immunology, Life Sciences
Investigational New Drugs, Multidisciplinary
Strahlentherapie und Onkologie, Multidisciplinary
Trends in Biochemical Sciences, Physical Sciences
Leukemia Research, Multidisciplinary
Entrepreneurship Theory and Practice, Business & Economics
Journal of Pensions Economics and Finance, Business & Economics
Journal of Business Venturing Insights, Business & Economics
Journal of Product Innovation Management, Business & Economics
The Annals of Regional Science, Multidisciplinary
Journal of Rural Studies, Engineering & Technology
The Journal of Human Resources, Engineering & Technology
Gender Work and Organization, Multidisciplinary
Bulletin of the Australian Mathematical Society, Physical Sciences
Revista de la Real Academia de Ciencias Exactas Físicas y Naturales Serie A Matemáticas, Multidisciplinary
Journal of Mathematical Analysis and Applications, Physical Sciences
Journal of Symbolic Logic, Engineering & Technology
The Ramanujan Journal, Multidisciplinary
Discrete Mathematics, Physical Sciences
Rendiconti del Circolo Matematico di Palermo Series 2, Multidisciplinary
Journal of Pipeline Science and Engineering, Engineering & Technology
Neurotoxicity Research, Life Sciences
Dose-Response, Multidisciplinary
Andrologia, Multidisciplinary
Extracellular Vesicle, Multidisciplinary
Highlights in Art and Design, Humanities
International Journal of Education and Humanities, Humanities
World Journal of Stem Cells, Engineering & Technology
Precision medicine and engineering., Engineering & Technology
Transportation Research Part C Emerging Technologies, Humanities
Journal of Industrial Information Integration, Engineering & Technology
Supply Chain Analytics, Engineering & Technology
Applied Network Science, Engineering & Technology
Reliability Engineering & System Safety, Engineering & Technology
Probabilistic Engineering Mechanics, Engineering & Technology
Data Science and Management, Business & Economics
Journal of Aerospace Technology and Management, Business & Economics
Building and Environment, Multidisciplinary
Color and Imaging Conference, Multidisciplinary
Color Research & Application, Multidisciplinary
Environmental Health Insights, Life Sciences
Pediatric Health Medicine and Therapeutics, Life Sciences
Interdisciplinary Perspectives on Infectious Diseases, Multidisciplinary
Case Reports in Infectious Diseases, Multidisciplinary
Review of Palaeobotany and Palynology, Life Sciences
Vegetation History and Archaeobotany, Humanities
Journal of Archaeological Science, Multidisciplinary
Archaeological Research in Asia, Multidisciplinary
Antiquity, Multidisciplinary
Experimental Oncology, Life Sciences
Siberian Journal of Oncology, Life Sciences
Acta Biomedica Scientifica (East Siberian Biomedical Journal), Life Sciences
Tumors of female reproductive system, Multidisciplinary
Russian Journal of Gastroenterology Hepatology Coloproctology, Engineering & Technology
Advances in molecular oncology, Life Sciences
IJEMS Indonesian Journal of Education and Mathematical Science, Social Sciences
Jurnal JTIK (Jurnal Teknologi Informasi dan Komunikasi), Multidisciplinary
JURNAL TARBIYAH, Multidisciplinary
Journal of Information System Research (JOSH), Engineering & Technology
Journal Of Education And Teaching Learning (JETL), Social Sciences
Journal of Applied Engineering and Technological Science (JAETS), Engineering & Technology
Aksaqila International Humanities and Social Sciences [AIHSS] Journal, Humanities
Jurnal Riset Ilmu Pendidikan, Multidisciplinary
ROMANIAN BIOTECHNOLOGICAL LETTERS, Engineering & Technology
Biogerontology, Multidisciplinary
Fibrosis, Multidisciplinary
Journal of Exercise Science & Fitness, Multidisciplinary
International Journal of Sports Medicine, Life Sciences
Revista Brasileira de Ciências do Esporte, Multidisciplinary
Frontiers in Medical Technology, Engineering & Technology
Health Information Management Journal, Business & Economics
European Journal of Dermatology, Engineering & Technology
The Journal of the American Dental Association, Engineering & Technology
Frontiers in Transplantation, Multidisciplinary
International Neurourology Journal, Life Sciences
International Urogynecology Journal, Life Sciences
Current Bladder Dysfunction Reports, Multidisciplinary
Aquaculture Nutrition, Life Sciences
The Journal of Applied Poultry Research, Engineering & Technology
Journal of the Saudi Society of Agricultural Sciences, Humanities
Animal Reproduction, Multidisciplinary
Journal of Infection Prevention, Engineering & Technology
Discovery Medicine, Life Sciences
Biosurface and Biotribology, Multidisciplinary
Saudi Journal of Gastroenterology, Engineering & Technology
Cyborg and Bionic Systems, Engineering & Technology
International Journal of Finance & Banking Studies (2147-4486), Business & Economics
Jurnal Asy-Syukriyyah, Multidisciplinary
Owner, Multidisciplinary
Telaah Bisnis, Multidisciplinary
International Journal of Economics Development Research (IJEDR), Business & Economics
American Journal of Psychiatry and Neuroscience, Life Sciences
Progress in Disaster Science, Multidisciplinary
Annals of Bangladesh Agriculture, Life Sciences
Physical and Engineering Sciences in Medicine, Engineering & Technology
Green and Low-Carbon Economy, Multidisciplinary
Review of Development Economics, Business & Economics
Frontiers of Nursing, Multidisciplinary
Frontiers in Imaging, Multidisciplinary
Chinese Journal of Academic Radiology, Engineering & Technology
Liver Transplantation, Multidisciplinary
Chinese Journal of Cancer Research, Engineering & Technology
Biological Research, Life Sciences
Journal of Curriculum and Teaching, Engineering & Technology
Tissue Engineering Part C Methods, Humanities
Microvascular Research, Multidisciplinary
Journal of Stomatology Oral and Maxillofacial Surgery, Engineering & Technology
Robotics and Computer-Integrated Manufacturing, Engineering & Technology
Physics of Fluids, Physical Sciences
Annual Reviews in Control, Engineering & Technology
International Journal of Robust and Nonlinear Control, Engineering & Technology
Frontiers in Control Engineering, Engineering & Technology
Journal of Aerosol Science, Multidisciplinary
Applied Physics B, Physical Sciences
Global Challenges, Multidisciplinary
Applied Nanoscience, Multidisciplinary
Safety of Nuclear Waste Disposal, Multidisciplinary
Computational Urban Science, Multidisciplinary
Frontiers in Radiology, Multidisciplinary
Physics and Imaging in Radiation Oncology, Physical Sciences
Journal of Imaging Informatics in Medicine, Engineering & Technology
Journal of Nuclear Cardiology, Engineering & Technology
Heart and Vessels, Humanities
RMD Open, Multidisciplinary
RöFo - Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren, Multidisciplinary
Sports medicine research and practice, Life Sciences
BIOPHYSICS, Physical Sciences
Medicine of Extreme Situations, Life Sciences
Russian journal of hematology and transfusiology, Engineering & Technology
Medico-Biological and Socio-Psychological Problems of Safety in Emergency Situations, Life Sciences
Radiacionnaâ gigiena, Multidisciplinary
Ukrainian Botanical Journal, Engineering & Technology
Plant Introduction, Multidisciplinary
Transportation Engineering, Engineering & Technology
European Urology Focus, Multidisciplinary
Human Genomics, Life Sciences
World Journal of Clinical Oncology, Life Sciences
BMJ Case Reports, Multidisciplinary
Northern Ireland Legal Quarterly, Humanities
Journal of medical imaging and radiation sciences, Life Sciences
European Journal of Public Health Studies, Life Sciences
World Journal of Public Health, Life Sciences
Journal of Cardiovascular Translational Research, Engineering & Technology
Journal of Small Animal Practice, Engineering & Technology
Clinical Breast Cancer, Life Sciences
Breathe, Multidisciplinary
Thrombosis Update, Multidisciplinary
Trends in Molecular Medicine, Life Sciences
Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology, Engineering & Technology
Biomaterials Science, Physical Sciences
Expert Opinion on Drug Delivery, Multidisciplinary
World Journal of Orthopedics, Engineering & Technology
Next Sustainability, Engineering & Technology
Advances in Colloid and Interface Science, Multidisciplinary
Regenerative Biomaterials, Physical Sciences
Beilstein Journal of Nanotechnology, Engineering & Technology
Injury, Multidisciplinary
Proteome Science, Multidisciplinary
Arthroplasty Today, Humanities
Foot & Ankle Orthopaedics, Multidisciplinary
Clinics in Shoulder and Elbow, Multidisciplinary
Orthopedic Research and Reviews, Engineering & Technology
Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine, Life Sciences
European Journal of Orthopaedic Surgery & Traumatology, Engineering & Technology
Arthroscopy Techniques, Humanities
Saudi Journal of Anaesthesia, Engineering & Technology
Estuaries and Coasts, Multidisciplinary
Oceanography, Physical Sciences
Continental Shelf Research, Multidisciplinary
Psychology of China, Social Sciences
Carbon Trends, Multidisciplinary
Limnology and Oceanography Letters, Physical Sciences
Frontiers in Agronomy, Multidisciplinary
Hematology Transfusion and Cell Therapy, Multidisciplinary
Antonie van Leeuwenhoek, Multidisciplinary
Journal of Experimental Marine Biology and Ecology, Life Sciences
Neuroscience Applied, Life Sciences
Irrigation and Drainage, Engineering & Technology
Discover Plants., Multidisciplinary
Discover Agriculture, Life Sciences
Advances in Agriculture, Life Sciences
Exploration of Targeted Anti-tumor Therapy, Multidisciplinary
BMJ Supportive & Palliative Care, Multidisciplinary
Journal of Cancer Immunology, Life Sciences
Cancer therapy & Oncology International Journal, Life Sciences
Exploration of Immunology, Life Sciences
Autopsy and Case Reports, Multidisciplinary
Revista Española de Patología, Multidisciplinary
Mediastinum, Social Sciences
Journal of Clinical Pathology, Life Sciences
Journal of Pathology Informatics, Engineering & Technology
Journal of Evidence-Based Medicine, Life Sciences
RSC Chemical Biology, Physical Sciences
Ticks and Tick-borne Diseases, Multidisciplinary
Noise and Health, Life Sciences
Asian Journal of Pharmaceutical Sciences, Life Sciences
Molecular Pain, Engineering & Technology
Weather and Climate Extremes, Physical Sciences
Atmospheric Pollution Research, Multidisciplinary
Bulletin of the Korean Chemical Society, Physical Sciences
Krasnoyarsk Science, Multidisciplinary
International Journal of Advanced Studies, Engineering & Technology
Bulletin of Bryansk state technical university, Multidisciplinary
Sechenov Medical Journal, Life Sciences
Journal of Global Radiology, Engineering & Technology
University of Toronto Journal of Public Health, Life Sciences
International Journal of Clinical and Diagnostic Pathology, Life Sciences
Software & Systems Modeling, Engineering & Technology
International Journal on Software Tools for Technology Transfer, Engineering & Technology
Journal of Software Evolution and Process, Engineering & Technology
Information and Software Technology, Engineering & Technology
IET Smart Cities, Humanities
Academic Society for Appropriate Technology, Engineering & Technology
Trends in Endocrinology and Metabolism, Multidisciplinary
Case Reports in Dermatological Medicine, Life Sciences
The Brazilian Journal of Infectious Diseases, Engineering & Technology
Revista do Instituto de Medicina Tropical de São Paulo, Multidisciplinary
Annals of Dermatological Research, Multidisciplinary
Anais Brasileiros de Dermatologia, Engineering & Technology
Allergology International, Multidisciplinary
Inflammation Research, Multidisciplinary
International Journal of Research in Management, Business & Economics
Health care science, Life Sciences
Social and Emotional Learning Research Practice and Policy, Social Sciences
Lecture Notes on Language and Literature, Humanities
International Journal of Natural Resources and Environmental Studies, Engineering & Technology
AIChE Journal, Engineering & Technology
Computers & Chemical Engineering, Engineering & Technology
Journal of Petroleum Science and Engineering, Engineering & Technology
Maternal and Child Health Journal, Life Sciences
Jurnal Online Informatika, Multidisciplinary
Jurnal EMT KITA, Multidisciplinary
JURNAL ILMIAH EKONOMI ISLAM, Multidisciplinary
ALADALAH Jurnal Politik Sosial Hukum dan Humaniora, Multidisciplinary
Jurnal Bioterdidik Wahana Ekspresi Ilmiah, Multidisciplinary
ARABIYAT Jurnal Pendidikan Bahasa Arab dan Kebahasaaraban, Multidisciplinary
Jurnal Akuntansi dan Keuangan, Multidisciplinary
Proceedings of the 2nd Borobudur International Symposium on Humanities and Social Sciences, BIS-HSS 2020, 18 November 2020, Magelang, Central Java, Indonesia, Humanities
